umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
9,7,0.13,10,0.72103906
8,8,0.02,9,0.72089493
4,5,0.11,10,0.72086215
8,4,0.07,9,0.72084814
4,8,0.11,9,0.7208339
9,6,0.07,10,0.7208294
10,7,0.12,9,0.72079855
8,9,0.15,10,0.7207861
3,5,0.04,10,0.7207723
10,7,0.07,9,0.7207599
9,7,0.06,9,0.7207598
4,6,0.02,9,0.72072196
2,7,0.13,10,0.72071403
10,5,0.04,9,0.720635
5,7,0.13,9,0.7205165
3,8,0.04,10,0.7205161
2,6,0.09,10,0.7205062
7,6,0.09,10,0.720504
5,8,0.14,10,0.7204709
3,3,0.06,9,0.7204299
7,5,0.1,10,0.72029346
10,5,0.13,10,0.72021353
8,9,0.08,10,0.72019535
8,4,0.14,9,0.72015554
6,5,0.09,9,0.7201467
4,3,0.13,10,0.72014076
6,5,0.12,9,0.72009945
3,4,0.04,9,0.719929
10,8,0.08,10,0.7199098
6,7,0.11,10,0.7198283
4,7,0.06,9,0.7197099
5,6,0.09,10,0.7196497
9,4,0.11,10,0.7195878
9,4,0.08,9,0.7195259
10,7,0.1,10,0.7194135
4,5,0.12,10,0.7193968
9,5,0.11,9,0.71928287
3,6,0.02,10,0.7192304
10,6,0.1,9,0.7192066
8,6,0.15,10,0.7190777
6,9,0.11,10,0.719054
8,8,0.12,9,0.7189809
7,6,0.03,9,0.7187911
10,3,0.08,10,0.7186786
3,6,0.06,8,0.71860117
2,4,0.03,9,0.71859384
7,4,0.14,10,0.7185897
6,9,0.05,8,0.71858144
9,9,0.14,10,0.7184495
6,7,0.09,9,0.71842533
9,3,0.05,10,0.71840423
3,8,0.13,10,0.7183739
6,4,0.12,9,0.7183213
4,5,0.08,9,0.7182216
9,7,0.03,9,0.71815246
2,9,0.1,9,0.7180876
10,3,0.05,10,0.7179706
6,3,0.07,9,0.7178788
10,5,0.11,10,0.71787655
7,5,0.05,10,0.7178059
6,9,0.13,8,0.71779174
4,9,0.1,10,0.71775544
3,9,0.03,10,0.7177289
5,7,0.09,10,0.7176941
10,7,0.11,9,0.7176179
2,3,0.12,10,0.7176085
5,5,0.15,8,0.71760386
3,6,0.1,10,0.71757406
4,8,0.1,9,0.71754134
2,6,0.05,7,0.7175229
5,6,0.06,10,0.7174869
5,8,0.05,10,0.71746564
5,3,0.06,10,0.7173411
3,4,0.12,10,0.71731144
5,8,0.08,10,0.717173
3,7,0.08,9,0.7171342
6,8,0.03,10,0.7170686
9,4,0.09,9,0.7170166
9,7,0.15,9,0.71696717
8,4,0.05,9,0.7169142
9,4,0.03,9,0.716905
4,9,0.03,10,0.716884
3,9,0.06,10,0.7168635
2,9,0.11,9,0.7168583
4,8,0.06,10,0.7168293
10,3,0.03,10,0.7167384
3,5,0.03,10,0.716701
2,3,0.02,9,0.7166552
7,7,0.06,10,0.71663296
10,7,0.14,10,0.7165976
6,7,0.08,10,0.7165941
2,4,0.08,9,0.7165239
3,9,0.11,9,0.71644163
7,8,0.08,8,0.7164153
2,7,0.08,10,0.71633476
2,7,0.07,10,0.716318
3,6,0.04,7,0.7162838
6,5,0.15,10,0.71627176
2,3,0.03,9,0.716248
5,6,0.02,9,0.7162021
6,9,0.05,9,0.71613157
5,3,0.09,10,0.71611786
3,3,0.05,8,0.7160763
8,5,0.09,10,0.7160607
10,5,0.08,10,0.71575654
7,7,0.03,9,0.71570665
6,4,0.09,9,0.71569693
8,3,0.03,10,0.7153954
3,7,0.11,9,0.71521795
3,7,0.05,9,0.7152147
6,7,0.06,9,0.7150739
2,6,0.11,8,0.7150279
7,6,0.06,9,0.7150097
5,3,0.12,10,0.7148875
6,7,0.14,9,0.7147797
7,4,0.08,10,0.7147506
6,4,0.03,9,0.71468973
10,7,0.05,10,0.71467113
4,5,0.13,9,0.71465945
